,date,power,temp
454,2018-01-06,44341,20.1
455,2018-01-07,41519,20.3
456,2018-01-08,45365,18.0
457,2018-01-09,47268,11.9
458,2018-01-10,47941,13.7
459,2018-01-11,47770,14.4
460,2018-01-12,47166,15.2
461,2018-01-13,45367,15.0
462,2018-01-14,42797,16.0
463,2018-01-15,46097,17.1
464,2018-01-16,47540,17.5
465,2018-01-17,47291,19.5
466,2018-01-18,46997,19.7
467,2018-01-19,46921,21.6
468,2018-01-20,44936,19.9
469,2018-01-21,42204,20.9
470,2018-01-22,45429,21.2
471,2018-01-23,46183,21.5
472,2018-01-24,46566,22.0
473,2018-01-25,46983,23.3
474,2018-01-26,45790,21.2
475,2018-01-27,41574,18.4
476,2018-01-28,40956,15.5
477,2018-01-29,46191,12.4
478,2018-01-30,48916,11.3
479,2018-01-31,49933,11.7
480,2018-02-01,48924,13.8
481,2018-02-02,48717,13.9
482,2018-02-03,46745,14.3
483,2018-02-04,44015,14.0
484,2018-02-05,47535,13.3
485,2018-02-06,48272,13.1
486,2018-02-07,48314,14.1
487,2018-02-08,47566,14.7
488,2018-02-09,45629,15.6
489,2018-02-10,43197,16.5
490,2018-02-11,39380,15.8
491,2018-02-12,39725,14.1
492,2018-02-13,36032,15.8
493,2018-02-14,31712,17.4
494,2018-02-15,34252,19.6
495,2018-02-16,27636,20.8
496,2018-02-17,26938,21.3
497,2018-02-18,27236,20.5
498,2018-02-19,28705,21.3
499,2018-02-20,31314,22.4
500,2018-02-21,37127,22.6
501,2018-02-22,38912,18.7
502,2018-02-23,40151,15.8
503,2018-02-24,40113,16.6
504,2018-02-25,38796,17.9
505,2018-02-26,42491,18.9
506,2018-02-27,43472,19.7
507,2018-02-28,43874,21.9
508,2018-03-01,42662,23.2
509,2018-03-02,44692,23.2
510,2018-03-03,43087,24.4
511,2018-03-04,41457,25.8
512,2018-03-05,46897,25.5
513,2018-03-06,47846,25.3
514,2018-03-07,48151,24.4
515,2018-03-08,44240,19.6
516,2018-03-09,44155,19.1
517,2018-03-10,41963,18.1
518,2018-03-11,39423,18.6
519,2018-03-12,43841,19.4
520,2018-03-13,45458,19.3
521,2018-03-14,46027,21.2
522,2018-03-15,46716,23.4
523,2018-03-16,46611,23.1
524,2018-03-17,43221,23.2
525,2018-03-18,41307,23.4
526,2018-03-19,47042,24.9
527,2018-03-20,46433,23.2
528,2018-03-21,45167,20.9
529,2018-03-22,45111,20.3
530,2018-03-23,45349,21.1
531,2018-03-24,43932,21.4
532,2018-03-25,40748,22.1
533,2018-03-26,45344,22.8
534,2018-03-27,46806,23.1
535,2018-03-28,46887,23.8
536,2018-03-29,47780,24.5
537,2018-03-30,47213,24.1
538,2018-03-31,44795,24.3
539,2018-04-01,41490,24.7
540,2018-04-02,47866,24.8
541,2018-04-03,48289,24.3
542,2018-04-04,48364,24.7
543,2018-04-05,48497,24.8
544,2018-04-06,45930,21.6
545,2018-04-07,42533,19.8
546,2018-04-08,39661,19.5
547,2018-04-09,44432,21.0
548,2018-04-10,46177,22.4
549,2018-04-11,47567,24.3
550,2018-04-12,48745,24.8
551,2018-04-13,49726,25.7
552,2018-04-14,47868,25.6
553,2018-04-15,41196,22.0
554,2018-04-16,44936,21.0
555,2018-04-17,46371,22.8
556,2018-04-18,46537,23.1
557,2018-04-19,47299,24.0
558,2018-04-20,48832,25.4
559,2018-04-21,48740,27.0
560,2018-04-22,45880,26.8
561,2018-04-23,51849,27.0
562,2018-04-24,52317,26.8
563,2018-04-25,43670,24.4
564,2018-04-26,48335,25.4
565,2018-04-27,46233,23.2
566,2018-04-29,38705,25.4
567,2018-04-30,36571,26.7
568,2018-05-01,39283,28.2
569,2018-05-02,49098,27.5
570,2018-05-03,50285,26.0
571,2018-05-04,52387,27.6
572,2018-05-05,51685,27.6
573,2018-05-06,50422,29.2
574,2018-05-07,61665,31.2
575,2018-05-08,65083,30.9
576,2018-05-09,63076,29.8
